WEH,2B23 STP,1203 (1204),Shoeburyness,UP,London Fenchurch St,1204 (1204),CC,2B,1203,1204 ,UP
WEH,1B20 STP,1208 (1208),London Fenchurch St,DN,Shoeburyness,1208 (1208),CC,1B,1208 ,1208,DN
WEH,2R35 STP,1211 (1211),Grays,UP,London Fenchurch St,1211 (1211),CC,2R,1211 ,1211,UP
WEH,2R32 STP,1214 (1214),London Fenchurch St,DN,Grays,1214 (1214),CC,2R,1214 ,1214,DN
WEH,1B47 STP,1215 (1216),Shoeburyness,UP,London Fenchurch St,1216 (1216),CC,1B,1215,1216 ,UP
WEH,2B30 STP,1219 (1219),London Fenchurch St,DN,Shoeburyness,1219 (1219),CC,2B,1219 ,1219,DN
WEH,2D25 STP,1225 (1226),Southend Central,UP,London Fenchurch St,1226 (1226),CC,2D,1225,1226 ,UP
WEH,2D18 STP,1229 (1229),London Fenchurch St,DN,Southend Central,1229 (1229),CC,2D,1229 ,1229,DN
WEH,2B25 STP,1233 (1234),Shoeburyness,UP,London Fenchurch St,1234 (1234),CC,2B,1233,1234 ,UP
WEH,1B22 STP,1238 (1238),London Fenchurch St,DN,Shoeburyness,1238 (1238),CC,1B,1238 ,1238,DN
WEH,2R37 STP,1241 (1241),Grays,UP,London Fenchurch St,1241 (1241),CC,2R,1241 ,1241,UP
WEH,2R34 STP,1244 (1244),London Fenchurch St,DN,Grays,1244 (1244),CC,2R,1244 ,1244,DN
WEH,1B49 STP,1245 (1246),Shoeburyness,UP,London Fenchurch St,1246 (1246),CC,1B,1245,1246 ,UP
WEH,2B32 STP,1249 (1249),London Fenchurch St,DN,Shoeburyness,1249 (1249),CC,2B,1249 ,1249,DN
WEH,2D27 STP,1255 (1256),Southend Central,UP,London Fenchurch St,1256 (1256),CC,2D,1255,1256 ,UP
WEH,2D20 STP,1259 (1259),London Fenchurch St,DN,Southend Central,1259 (1259),CC,2D,1259 ,1259,DN
